2026-07-14 09:59:25,http://198.204.228.26/live/cctv1hd.m3u8
咪咕直播 𝟚「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000005969/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=YanG-1989
CGTN西语,rtp://239.3.1.217:4220
睛彩青少,rtp://239.3.1.127:8001
怀旧剧场,http://107.150.60.122/live/hjjc.m3u8
五星体育,http://101.35.240.114:88/live.php?id=五星体育
咪咕直播 𝟛「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000007218/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=YanG-1989
CGTN法语,rtp://239.3.1.218:4220
睛彩广场舞,rtp://239.3.1.128:8001
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
凤凰资讯,http://101.35.240.114:88/phenix.php?id=fhzx
咪咕直播 𝟜「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000008001/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=YanG-1989
CGTN阿语,rtp://239.3.1.219:4220
爱上4K,rtp://239.3.1.236:2000
怀旧剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hjjc
凤凰中文,http://101.35.240.114:88/phenix.php?id=fhzw
咪咕直播 𝟝「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000008176/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=YanG-1989
CGTN俄语,rtp://239.3.1.220:4220
4K超清,rtp://239.3.1.249:8001
怀旧剧场,https://live.264788.xyz/channel/huaijiujuchang?streamid=7e5d1abdddde08f588234f3f640f75ff&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
凤凰香港,http://101.35.240.114:88/phenix.php?id=fhhk
咪咕直播 𝟞「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000008379/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=YanG-1989
中国教育,rtp://239.3.1.57:8152
城市剧场,rtp://239.3.1.67:4120
怀旧剧场,http://173.208.212.130:8181/720p/hjjc.m3u8
深圳卫视4K,http://101.35.240.114:88/live.php?id=深圳卫视4K
咪咕直播 𝟟「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000010129/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=YanG-1989
中国交通,rtp://239.3.1.188:8001
军旅剧场,rtp://239.3.1.68:4120
女性时尚,http://173.208.212.130:8181/720p/nxss.m3u8
浙江卫视4K,http://101.35.240.114:88/live.php?id=浙江卫视4K
咪咕直播 𝟠「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000010948/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=YanG-1989
中国天气,rtp://239.3.1.165:8001
古装剧场,rtp://239.3.1.69:4120
女性时尚,http://207.56.13.146:81/cdnlive/nxss.m3u8
山东卫视4K,http://101.35.240.114:88/live.php?id=山东卫视4K
咪咕直播 𝟡「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000028638/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=YanG-1989
四海钓鱼,rtp://239.3.1.164:8001
精选高清,rtp://239.3.1.74:4120
女性时尚,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxss
东方卫视4K,http://101.35.240.114:88/live.php?id=东方卫视4K
